Time	EMG	Muscle Force
17.235	-0.466938	0.217617
17.236	-0.228428	0.217617
17.237	-0.0183159	0.217617
17.238	-0.320007	0.217617
17.239	0.661561	0.217617
17.24	1.45015	0.217617
17.241	0.760491	0.217617
17.242	-0.923256	0.217617
17.243	-1.92992	0.217617
17.244	-0.746008	0.217617
17.245	0.633792	0.217617
17.246	0.893062	0.217617
17.247	0.730733	0.217617
17.248	0.308066	0.217617
17.249	-0.133168	0.217617
17.25	-0.399441	0.217617
17.251	-0.458397	0.217617
17.252	-0.34145	0.217617
17.253	-0.122761	0.217617
17.254	-0.13806	0.217617
17.255	-0.224954	0.217617
17.256	1.00714	0.217617
17.257	1.48596	0.217617
17.258	0.286446	0.217617
17.259	-1.34534	0.217617
17.26	-1.89203	0.217617
17.261	-0.137646	0.217617
17.262	0.749218	0.217617
17.263	0.80427	0.217617
17.264	0.596435	0.217617
17.265	0.235006	0.217617
17.266	-0.143485	0.217617
17.267	-0.396722	0.217617
17.268	-0.471084	0.217617
17.269	-0.366805	0.217617
17.27	-0.110343	0.217617
17.271	-0.26904	0.217617
17.272	0.162753	0.217617
17.273	1.29773	0.217617
17.274	1.30149	0.217617
17.275	-0.265511	0.217617
17.276	-1.71083	0.217617
17.277	-1.55864	0.217617
17.278	0.307042	0.217617
17.279	0.865165	0.217617
17.28	0.781591	0.217617
17.281	0.497989	0.217617
17.282	0.0946362	0.217617
17.283	-0.287026	0.217617
17.284	-0.478679	0.217617
17.285	-0.428883	0.217617
17.286	-0.241819	0.217617
17.287	-0.0480802	0.217617
17.288	-0.376774	0.217617
17.289	0.551866	0.217617
17.29	1.45142	0.217617
17.291	0.922569	0.217617
17.292	-0.749831	0.217617
17.293	-1.89519	0.217617
17.294	-0.949086	0.217617
17.295	0.527491	0.217617
17.296	0.851432	0.217617
17.297	0.717794	0.217617
17.298	0.352997	0.217617
17.299	-0.0333522	0.217617
17.3	-0.317331	0.217617
17.301	-0.446049	0.217617
17.302	-0.373121	0.217617
17.303	-0.173843	0.217617
17.304	-0.121669	0.217617
17.305	-0.249281	0.217617
17.306	0.886662	0.217617
17.307	1.40197	0.217617
17.308	0.399377	0.217617
17.309	-1.15424	0.217617
17.31	-1.85204	0.217617
17.311	-0.258669	0.217617
17.312	0.716399	0.217617
17.313	0.804343	0.217617
17.314	0.571224	0.217617
17.315	0.223368	0.217617
17.316	-0.150955	0.217617
17.317	-0.396126	0.217617
17.318	-0.41454	0.217617
17.319	-0.306529	0.217617
17.32	-0.101486	0.217617
17.321	-0.287795	0.217617
17.322	0.0532425	0.217617
17.323	1.21861	0.217617
17.324	1.28725	0.217617
17.325	-0.122321	0.217617
17.326	-1.53761	0.217617
17.327	-1.60899	0.217617
17.328	0.1803	0.217617
17.329	0.805237	0.217617
17.33	0.79881	0.217617
17.331	0.475657	0.217617
17.332	0.0895582	0.217617
17.333	-0.217345	0.217617
17.334	-0.406316	0.217617
17.335	-0.426635	0.217617
17.336	-0.268975	0.217617
17.337	-0.0545213	0.217617
17.338	-0.39761	0.217617
17.339	0.440285	0.217617
17.34	1.42254	0.217617
17.341	1.02458	0.217617
17.342	-0.652158	0.217617
17.343	-1.88359	0.217617
17.344	-1.0552	0.217617
17.345	0.556383	0.217617
17.346	0.866044	0.217617
17.347	0.694867	0.217617
17.348	0.321434	0.217617
17.349	-0.044627	0.217617
17.35	-0.279347	0.217617
17.351	-0.403618	0.217617
17.352	-0.36741	0.217617
17.353	-0.187745	0.217617
17.354	-0.131504	0.217236
17.355	-0.324799	0.217617
17.356	0.846638	0.217617
17.357	1.4593	0.217617
17.358	0.49427	0.217617
17.359	-1.09305	0.217236
17.36	-1.87902	0.217617
17.361	-0.375003	0.217617
17.362	0.674579	0.217617
17.363	0.801188	0.217236
17.364	0.602292	0.217617
17.365	0.257535	0.217617
17.366	-0.109577	0.217617
17.367	-0.36491	0.217617
17.368	-0.438895	0.217617
17.369	-0.34054	0.217236
17.37	-0.134553	0.217617
17.371	-0.265196	0.217236
17.372	-0.013948	0.217617
17.373	1.18882	0.217617
17.374	1.35818	0.217617
17.375	-0.0169089	0.217617
17.376	-1.47529	0.217617
17.377	-1.68547	0.217617
17.378	0.0824947	0.217617
17.379	0.750554	0.217236
17.38	0.790224	0.217617
17.381	0.518797	0.217617
17.382	0.172046	0.217617
17.383	-0.16948	0.217617
17.384	-0.431368	0.217617
17.385	-0.475724	0.217236
17.386	-0.307898	0.217617
17.387	-0.0760017	0.217617
17.388	-0.345285	0.217617
17.389	0.435555	0.217617
17.39	1.42509	0.217617
17.391	1.06477	0.217617
17.392	-0.615601	0.217617
17.393	-1.86158	0.217617
17.394	-1.17086	0.217617
17.395	0.437132	0.217617
17.396	0.84038	0.217617
17.397	0.80223	0.217617
17.398	0.505795	0.217617
17.399	0.0373698	0.217617
17.4	-0.394157	0.217617
17.401	-0.547419	0.217617
17.402	-0.395805	0.217617
17.403	-0.126451	0.217617
17.404	-0.0880147	0.217617
17.405	-0.408119	0.217617
17.406	0.780498	0.217617
17.407	1.51634	0.217617
17.408	0.661626	0.217617
17.409	-0.994201	0.217617
17.41	-1.94158	0.217617
17.411	-0.567152	0.217617
17.412	0.61649	0.217617
17.413	0.82896	0.217617
17.414	0.659214	0.217617
17.415	0.299203	0.217617
17.416	-0.0969886	0.217617
17.417	-0.374702	0.217617
17.418	-0.45292	0.217617
17.419	-0.336006	0.217617
17.42	-0.116199	0.217617
17.421	-0.225324	0.217617
17.422	-0.0953786	0.217617
17.423	1.15746	0.217617
17.424	1.42535	0.217617
17.425	0.0306568	0.217617
17.426	-1.51908	0.217617
17.427	-1.81141	0.217617
17.428	0.0586237	0.217617
17.429	0.862062	0.217617
17.43	0.862444	0.217617
17.431	0.600057	0.217617
17.432	0.201356	0.217617
17.433	-0.312199	0.217617
17.434	-0.573294	0.217617
17.435	-0.476321	0.217617
17.436	-0.22229	0.217617
17.437	0.0369403	0.217617
17.438	-0.296146	0.217617
17.439	0.292019	0.217617
17.44	1.30296	0.217617
17.441	1.08396	0.217617
17.442	-0.474407	0.217617
17.443	-1.73623	0.217617
17.444	-1.23743	0.217617
17.445	0.45691	0.217617
17.446	0.813678	0.217617
17.447	0.674827	0.217617
17.448	0.373793	0.217617
17.449	0.0364509	0.217617
17.45	-0.265045	0.217617
17.451	-0.406545	0.217617
17.452	-0.345089	0.217617
17.453	-0.161056	0.217617
17.454	-0.0765908	0.217617
17.455	-0.465414	0.217617
17.456	0.59886	0.217617
17.457	1.45583	0.217617
17.458	0.758189	0.217617
17.459	-0.873601	0.217617
17.46	-1.87075	0.217617
17.461	-0.621762	0.217617
17.462	0.656272	0.217617
17.463	0.790458	0.217617
17.464	0.554405	0.217617
17.465	0.265113	0.217617
17.466	-0.0588911	0.217617
17.467	-0.312019	0.217617
17.468	-0.396985	0.217617
17.469	-0.334392	0.217617
17.47	-0.162469	0.217617
17.471	-0.223467	0.217617
17.472	-0.161762	0.217617
17.473	1.0883	0.217617
17.474	1.44191	0.217617
17.475	0.159111	0.217617
17.476	-1.40702	0.217617
17.477	-1.83662	0.217617
17.478	-0.04611	0.217617
17.479	0.798214	0.217617
17.48	0.893528	0.217617
17.481	0.578666	0.217617
17.482	0.117923	0.217617
17.483	-0.274999	0.217617
17.484	-0.449852	0.217617
17.485	-0.403668	0.217617
17.486	-0.231771	0.217617
17.487	-0.0257314	0.217617
17.488	-0.326636	0.217617
17.489	0.221784	0.217617
17.49	1.29699	0.217617
17.491	1.13485	0.217617
17.492	-0.414514	0.217617
17.493	-1.71974	0.217617
17.494	-1.35168	0.217617
17.495	0.407027	0.217617
17.496	0.88062	0.217617
17.497	0.794541	0.217617
17.498	0.430355	0.217617
17.499	-0.00466128	0.217617
17.5	-0.328197	0.217617
17.501	-0.48342	0.217617
17.502	-0.412327	0.217617
17.503	-0.184231	0.217617
17.504	0.00436659	0.217617
17.505	-0.352957	0.217617
17.506	0.627791	0.217617
17.507	1.42633	0.217617
17.508	0.770744	0.217617
17.509	-0.871245	0.217617
17.51	-1.91336	0.217617
17.511	-0.768131	0.217617
17.512	0.612317	0.217617
17.513	0.842339	0.217617
17.514	0.680746	0.217617
17.515	0.352286	0.217617
17.516	-0.0351479	0.217617
17.517	-0.351509	0.217617
17.518	-0.487444	0.217617
17.519	-0.396414	0.217617
17.52	-0.166793	0.217617
17.521	-0.158848	0.217617
17.522	-0.198167	0.217617
17.523	1.02771	0.217617
17.524	1.46325	0.217617
17.525	0.306425	0.217617
17.526	-1.26592	0.217617
17.527	-1.85859	0.217617
17.528	-0.224227	0.217617
17.529	0.670375	0.217617
17.53	0.832355	0.217617
17.531	0.61639	0.217617
17.532	0.227444	0.217617
17.533	-0.154736	0.217617
17.534	-0.383903	0.217617
17.535	-0.434136	0.217617
17.536	-0.318432	0.217617
17.537	-0.107183	0.217617
17.538	-0.329126	0.217617
17.539	0.152637	0.217617
17.54	1.29592	0.217617
17.541	1.24371	0.217617
17.542	-0.2955	0.217617
17.543	-1.65297	0.217617
17.544	-1.48928	0.217617
17.545	0.297776	0.217617
17.546	0.85426	0.217617
17.547	0.839219	0.217617
17.548	0.48841	0.217617
17.549	0.0149196	0.217617
17.55	-0.334808	0.217617
17.551	-0.466051	0.217617
17.552	-0.409856	0.217617
17.553	-0.232453	0.217617
17.554	-0.0173472	0.217617
17.555	-0.332137	0.217236
17.556	0.568666	0.217617
17.557	1.43033	0.217617
17.558	0.883629	0.217617
17.559	-0.789658	0.217617
17.56	-1.94041	0.217617
17.561	-0.94169	0.217617
17.562	0.578045	0.217617
17.563	0.921915	0.217617
17.564	0.780255	0.217617
17.565	0.34219	0.217617
17.566	-0.140498	0.217617
17.567	-0.421282	0.217617
