Time	Lead II
3.83	0.127217
3.84	0.134027
3.85	0.0769867
3.86	0.054513
3.87	0.023015
3.88	-0.0289838
3.89	-0.0171332
3.9	-0.053356
3.91	-0.0368872
3.92	-0.0278214
3.93	-0.0472605
3.94	-0.014121
3.95	-0.0371761
3.96	-0.0168319
3.97	-0.00567286
3.98	-0.0205976
3.99	0.0141321
4	-0.0164886
4.01	-0.00718897
4.02	-0.00853182
4.03	-0.0355773
4.04	-0.0109216
4.05	-0.0445402
4.06	-0.0313736
4.07	-0.0300911
4.08	-0.053915
4.09	-0.026659
4.1	-0.0594295
4.11	-0.0495261
4.12	-0.0464364
4.13	-0.0610001
4.14	-0.0237904
4.15	-0.0536177
4.16	-0.0462381
4.17	-0.0532359
4.18	-0.0754302
4.19	-0.0341788
4.2	-0.0533696
4.21	-0.0284156
4.22	-0.0135387
4.23	-0.0165959
4.24	0.0263598
4.25	-0.00369555
4.26	-0.00222947
4.27	-0.0180097
4.28	-0.0566637
4.29	-0.0405711
4.3	-0.0824386
4.31	-0.0779404
4.32	-0.0775629
4.33	-0.0951255
4.34	-0.0608503
4.35	-0.0955768
4.36	-0.0972317
4.37	-0.0837974
4.38	0.0314694
4.39	0.411139
4.4	0.680002
4.41	0.602632
4.42	0.273304
4.43	-0.0143414
4.44	-0.0868482
4.45	-0.120123
4.46	-0.0848247
4.47	-0.070985
4.48	-0.0834537
4.49	-0.0488967
4.5	-0.0762725
4.51	-0.055696
4.52	-0.0494644
4.53	-0.0653821
4.54	-0.0316023
4.55	-0.0580923
4.56	-0.035117
4.57	-0.0205184
4.58	-0.0246228
4.59	0.0224623
4.6	0.0162331
4.61	0.0669921
4.62	0.104998
4.63	0.115677
4.64	0.172172
4.65	0.167817
4.66	0.202172
4.67	0.204202
4.68	0.166277
4.69	0.158876
4.7	0.0824067
4.71	0.0546536
4.72	0.0203823
4.73	-0.0220449
4.74	-0.00445343
4.75	-0.0439074
4.76	-0.0333462
4.77	-0.0353005
4.78	-0.0506062
4.79	-0.0115921
4.8	-0.0345878
4.81	-0.00943803
4.82	-0.000776945
4.83	-0.0157924
4.84	0.0191249
4.85	-0.00393988
4.86	0.0168664
4.87	0.0117346
4.88	-0.0230428
4.89	-0.00738387
4.9	-0.0471326
4.91	-0.0398391
4.92	-0.0494777
4.93	-0.0682565
4.94	-0.0347323
4.95	-0.0642029
4.96	-0.0463232
4.97	-0.0476159
4.98	-0.0678217
4.99	-0.0386936
5	-0.0659699
5.01	-0.0471995
5.02	-0.0509716
5.03	-0.0726789
5.04	-0.0425867
5.05	-0.0740104
5.06	-0.0610862
5.07	-0.0599431
5.08	-0.0716893
5.09	-0.0368796
5.1	-0.0675506
5.11	-0.0510554
5.12	-0.0574056
5.13	-0.0842846
5.14	-0.0505563
5.15	-0.0722367
5.16	-0.041245
5.17	-0.0234601
5.18	-0.0291719
5.19	0.00299082
5.2	-0.0310707
5.21	-0.0238371
5.22	-0.0409117
5.23	-0.0781486
5.24	-0.0626829
5.25	-0.0998789
5.26	-0.0863775
5.27	-0.0914324
5.28	-0.111063
5.29	-0.0859696
5.3	-0.130607
5.31	-0.106173
5.32	0.0112349
5.33	0.329128
5.34	0.710444
5.35	0.63952
5.36	0.31014
5.37	0.0091166
5.38	-0.12343
5.39	-0.0944044
5.4	-0.104391
5.41	-0.0730106
5.42	-0.0677202
5.43	-0.087039
5.44	-0.0586615
5.45	-0.0881388
5.46	-0.0710723
5.47	-0.0708849
5.48	-0.0760601
5.49	-0.0292581
5.5	-0.0459763
5.51	-0.0165418
5.52	-0.00224461
5.53	0.000618826
5.54	0.0504629
5.55	0.0404722
5.56	0.0862044
5.57	0.117895
5.58	0.130677
5.59	0.182783
5.6	0.16635
5.61	0.189421
5.62	0.172378
5.63	0.11728
5.64	0.107035
5.65	0.040306
5.66	0.0303087
5.67	0.00308501
5.68	-0.036235
5.69	-0.0187933
5.7	-0.0523061
5.71	-0.0302001
5.72	-0.0340454
5.73	-0.0573516
5.74	-0.028127
5.75	-0.0547152
5.76	-0.0296698
5.77	-0.0289239
5.78	-0.0484814
5.79	-0.0214653
5.8	-0.0528356
5.81	-0.0322228
5.82	-0.033108
5.83	-0.0512644
5.84	-0.0254959
5.85	-0.0621331
5.86	-0.0452203
5.87	-0.0464643
5.88	-0.0660843
5.89	-0.0339565
5.9	-0.0587974
5.91	-0.0381243
5.92	-0.0451686
5.93	-0.0654067
5.94	-0.0394017
5.95	-0.076316
5.96	-0.0531773
5.97	-0.0498074
5.98	-0.0606592
5.99	-0.0267457
6	-0.0559063
6.01	-0.0357608
6.02	-0.042206
6.03	-0.0623187
6.04	-0.036083
6.05	-0.0714091
6.06	-0.0556906
6.07	-0.0636966
6.08	-0.0771019
6.09	-0.0455185
6.1	-0.0794076
6.11	-0.0532046
6.12	-0.0429963
6.13	-0.0475927
6.14	-0.00830858
6.15	-0.0304447
6.16	-0.000686985
6.17	-0.00390616
6.18	-0.0298309
6.19	-0.0133309
6.2	-0.059848
6.21	-0.0589501
6.22	-0.0778539
6.23	-0.100809
6.24	-0.0706327
6.25	-0.0987311
6.26	-0.0817585
6.27	-0.0923111
6.28	-0.0674439
6.29	0.176676
6.3	0.530495
6.31	0.727779
6.32	0.499922
6.33	0.140173
6.34	-0.029076
6.35	-0.104274
6.36	-0.067566
6.37	-0.05742
6.38	-0.0720317
6.39	-0.0437318
6.4	-0.0742501
6.41	-0.0458885
6.42	-0.041738
6.43	-0.0565682
6.44	-0.0281389
6.45	-0.0519554
6.46	-0.0203198
6.47	-0.0135238
6.48	-0.0172081
6.49	0.0294728
6.5	0.0204013
6.51	0.0648686
6.52	0.0889796
6.53	0.104472
6.54	0.161379
6.55	0.151345
6.56	0.187437
6.57	0.191099
6.58	0.172518
6.59	0.183318
6.6	0.121628
6.61	0.109979
6.62	0.0743908
6.63	0.0261491
6.64	0.0251758
6.65	-0.0265488
6.66	-0.0164745
6.67	-0.0240255
6.68	-0.0384962
6.69	-0.00963954
6.7	-0.0364034
6.71	0.000227355
6.72	0.00659708
6.73	-0.00765234
6.74	-0.0272275
6.75	-0.0623393
6.76	-0.0194779
6.77	0.00857392
6.78	-0.0155728
6.79	0.0112809
6.8	-0.0214575
6.81	-0.0148377
6.82	-0.0110356
6.83	-0.0417753
6.84	-0.0142683
6.85	-0.0364665
6.86	-0.01948
6.87	-0.0165442
6.88	-0.048179
6.89	-0.0209896
6.9	-0.0503009
6.91	-0.0372186
6.92	-0.0287875
6.93	-0.0558892
6.94	-0.0223873
6.95	-0.0448652
6.96	-0.0325945
6.97	-0.0324444
6.98	-0.0604695
6.99	-0.0289798
7	-0.0570686
7.01	-0.042936
7.02	-0.0362054
7.03	-0.0574992
7.04	-0.0202428
7.05	-0.0411491
7.06	-0.0255755
7.07	-0.0254961
7.08	-0.0559966
7.09	-0.0355192
7.1	-0.0796801
7.11	-0.0806183
7.12	-0.0791821
7.13	-0.103888
7.14	-0.0770065
7.15	-0.113729
7.16	-0.114286
7.17	-0.0895703
7.18	0.0467257
7.19	0.444713
7.2	0.694328
7.21	0.577714
7.22	0.237864
7.23	-0.0394438
7.24	-0.090022
7.25	-0.110388
7.26	-0.0796427
7.27	-0.0647019
7.28	-0.080792
7.29	-0.0500835
7.3	-0.0806864
7.31	-0.0656032
7.32	-0.0591207
7.33	-0.0845734
7.34	-0.0513946
7.35	-0.0733079
7.36	-0.0560592
7.37	-0.0402918
7.38	-0.0442275
7.39	0.0117035
7.4	0.00439328
7.41	0.0418396
7.42	0.0811092
7.43	0.0879294
7.44	0.145672
7.45	0.142387
7.46	0.170199
7.47	0.173223
7.48	0.130669
7.49	0.125864
7.5	0.0557806
7.51	0.0328543
7.52	0.00993213
7.53	-0.0344398
7.54	-0.0224325
7.55	-0.0654932
7.56	-0.0583053
7.57	-0.0529848
7.58	-0.0752455
7.59	-0.0417929
7.6	-0.0680409
7.61	-0.0515369
7.62	-0.0392891
7.63	-0.0486293
7.64	-0.002627
7.65	-0.023914
7.66	-0.0122744
7.67	-0.00906917
7.68	-0.0308704
7.69	-0.00194152
7.7	-0.0396543
7.71	-0.0362999
7.72	-0.0366888
7.73	-0.0607148
7.74	-0.0273037
7.75	-0.0537514
7.76	-0.042288
7.77	-0.0390998
7.78	-0.0620366
7.79	-0.0349326
7.8	-0.0710584
7.81	-0.0630651
7.82	-0.0625325
7.83	-0.0816198
7.84	-0.0411926
7.85	-0.0680591
7.86	-0.056525
7.87	-0.0506227
7.88	-0.0672806
7.89	-0.0347628
7.9	-0.0599615
7.91	-0.0446222
7.92	-0.043941
7.93	-0.0653986
7.94	-0.0279741
7.95	-0.050592
7.96	-0.0276526
7.97	-0.0169829
7.98	-0.0374284
7.99	-0.0158732
8	-0.0637018
8.01	-0.067917
8.02	-0.0828984
8.03	-0.123985
8.04	-0.102268
8.05	-0.133222
8.06	-0.116198
8.07	-0.106172
8.08	-0.133462
8.09	-0.0979016
8.1	-0.031313
8.11	0.291486
8.12	0.658755
8.13	0.642631
8.14	0.345894
8.15	0.00979331
8.16	-0.0994317
8.17	-0.102138
8.18	-0.103857
8.19	-0.0643231
8.2	-0.0955281
8.21	-0.0845685
8.22	-0.0792183
8.23	-0.0968497
8.24	-0.0602062
8.25	-0.0844089
8.26	-0.0654367
8.27	-0.0538536
8.28	-0.0651401
8.29	-0.024077
8.3	-0.0411334
8.31	-0.00816216
8.32	0.0228222
8.33	0.0329626
8.34	0.097182
8.35	0.104607
8.36	0.145855
8.37	0.166948
8.38	0.16045
8.39	0.198039
8.4	0.166501
8.41	0.158669
8.42	0.123585
8.43	0.0650814
8.44	0.0598057
8.45	0.000729957
8.46	-0.0101472
8.47	-0.0283727
8.48	-0.0609734
8.49	-0.0349853
8.5	-0.0595379
8.51	-0.0395845
8.52	-0.0375245
8.53	-0.0565068
8.54	-0.0136074
8.55	-0.0274871
8.56	-0.00574113
8.57	-0.00129908
8.58	-0.0192468
8.59	0.0123008
8.6	-0.0164537
8.61	-0.00443799
8.62	-0.00874921
8.63	-0.0379636
8.64	-0.012461
8.65	-0.0371968
8.66	-0.0195126
8.67	-0.0231434
8.68	-0.0444148
8.69	-0.0105055
8.7	-0.0381022
8.71	-0.0240241
8.72	-0.0241003
8.73	-0.0477267
8.74	-0.0242864
8.75	-0.0577398
8.76	-0.0376742
8.77	-0.0284777
8.78	-0.0444275
8.79	-0.0130386
8.8	-0.0374284
8.81	-0.0143781
8.82	-0.0120498
8.83	-0.0380262
8.84	-0.0135438
8.85	-0.0402975
8.86	-0.0130913
8.87	0.00309512
8.88	-0.0175376
8.89	0.000439529
8.9	-0.040349
8.91	-0.0386933
8.92	-0.053739
8.93	-0.0845746
8.94	-0.0607615
8.95	-0.0909654
8.96	-0.0710389
8.97	-0.0743438
8.98	-0.101183
8.99	-0.0167541
9	0.190144
9.01	0.569325
9.02	0.677761
9.03	0.409541
9.04	0.125299
9.05	-0.0775282
9.06	-0.100824
9.07	-0.0879666
9.08	-0.0978233
9.09	-0.064938
9.1	-0.0903192
9.11	-0.0715492
9.12	-0.0634542
9.13	-0.0766685
9.14	-0.0455249
9.15	-0.0774988
9.16	-0.063552
9.17	-0.0535924
9.18	-0.0559637
9.19	-0.00940741
9.2	-0.0241339
9.21	0.0105389
9.22	0.0405242
9.23	0.0550571
9.24	0.120828
9.25	0.122974
9.26	0.162722
9.27	0.17707
9.28	0.155699
9.29	0.174919
9.3	0.127903
9.31	0.117477
9.32	0.0862764
9.33	0.0306391
9.34	0.0264956
9.35	-0.0289658
9.36	-0.0353099
9.37	-0.0503808
9.38	-0.0734598
9.39	-0.0395815
9.4	-0.063361
9.41	-0.0394869
9.42	-0.0301965
9.43	-0.0395244
9.44	-0.0035408
9.45	-0.0243008
9.46	0.00107421
9.47	0.00272715
9.48	-0.0241378
9.49	-0.000509628
9.5	-0.0333196
9.51	-0.022591
9.52	-0.0273207
9.53	-0.049914
9.54	-0.0248085
9.55	-0.0596502
9.56	-0.0445291
9.57	-0.0467716
9.58	-0.0692904
9.59	-0.0432558
9.6	-0.0764698
9.61	-0.0644026
9.62	-0.0648868
9.63	-0.0805957
9.64	-0.0491032
9.65	-0.0759267
9.66	-0.0576434
9.67	-0.0603911
9.68	-0.0801897
9.69	-0.0475772
9.7	-0.0729745
9.71	-0.053026
9.72	-0.053136
9.73	-0.0716648
9.74	-0.0358106
9.75	-0.0617056
9.76	-0.0441152
9.77	-0.0364286
9.78	-0.0462995
9.79	-0.0179034
9.8	-0.0545173
9.81	-0.0455086
9.82	-0.0574092
9.83	-0.0923845
9.84	-0.0726328
9.85	-0.108743
9.86	-0.100873
9.87	-0.102848
9.88	-0.124067
9.89	-0.0912092
9.9	-0.0377075
9.91	0.271892
9.92	0.65393
9.93	0.682715
9.94	0.394517
9.95	0.0351574
9.96	-0.0964024
9.97	-0.112161
9.98	-0.112241
9.99	-0.0719123
10	-0.0962179
10.01	-0.0747923
10.02	-0.0711047
10.03	-0.0884812
10.04	-0.0565138
10.05	-0.0822894
10.06	-0.0564292
10.07	-0.0436443
10.08	-0.0571588
10.09	-0.0240683
10.1	-0.0429681
10.11	-0.00753823
10.12	0.0172897
10.13	0.0296859
10.14	0.0953159
10.15	0.0972926
10.16	0.146752
10.17	0.17589
10.18	0.17383
10.19	0.204252
10.2	0.160788
10.21	0.153579
10.22	0.120497
10.23	0.0656019
10.24	0.0652592
10.25	0.0121797
10.26	0.0107022
10.27	-0.00498982
10.28	-0.0376554
10.29	-0.0148577
10.3	-0.0439999
10.31	-0.0222356
10.32	-0.0197643
10.33	-0.0389492
10.34	-0.00468115
10.35	-0.0226647
10.36	0.00353546
10.37	0.00566938
10.38	-0.0112323
10.39	0.018221
10.4	-0.0148317
10.41	-0.000678422
10.42	-0.00333203
10.43	-0.0290302
10.44	-0.00806609
10.45	-0.0422553
10.46	-0.0282252
10.47	-0.0296899
10.48	-0.0534123
